url,title,published_raw,published_iso,somali,ice,fraud,court,politicians,feeding_our_future,mn_mentioned,keep,reason,tags,snippet
https://www.fox9.com/news/galveston-bay-plane-crash-rescue-december-2025,Galveston plane crash: 6 dead after medical support plane from Mexico crashes,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,A plane reportedly crashed in Galveston Bay near the Galveston Causeway.
https://www.fox9.com/news/house-committee-expands-probe-minnesota-fraud,House committee expands probe into Minnesota fraud,,,0,1,1,1,1,1,1,1,kept,ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Political actors mentioned; Feeding Our Future; Minnesota mentioned,"The House Committee on Oversight and Government Reform is expanding its investigation into Medicaid fraud in Minnesota, days after the U.S. Attorney's Office suggested the fraud could have cost the state billions."
https://www.fox9.com/news/instacart-price-testing-strategy-ends-retailers-settlement,"Instacart price testing: What to know about the strategy, and why it’s ending",,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,Instacart is ending a program where customers saw different prices for the same product ordered at the same time from the same store. Here’s what they’re saying about the price testing strategy.
https://www.fox9.com/news/ira-ike-schab-pearl-harbor-survivor-dies,"Ira 'Ike' Schab, WWII vet and one of last remaining Pearl Harbor survivors, dies at 105",,,0,1,0,1,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Court / legal process,"Ira “Ike"" Schab was 21 years old when the Pearl Harbor attack occurred on Dec. 7, 1941."
https://www.fox9.com/news/man-sentenced-2023-slaying-ex-girlfriend-owatonna,Man sentenced for 2023 slaying of ex-girlfriend in Owatonna,,,0,1,0,1,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Court / legal process; Minnesota mentioned,The man convicted of murdering his ex-girlfriend and leaving her body beneath an Interstate-35 overpass in Owatonna in 2023 was sentenced on Monday.
https://www.fox9.com/news/menards-settles-minnesota-over-11-off-rebate-lawsuit,Menards settles with Minnesota over '11% off everything' lawsuit,,,0,1,1,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Fraud / social programs / COVID programs; Minnesota mentioned,"Menards has agreed to a $4.25 million settlement with several states, including Minnesota, over its ""11% off everything"" rebate program."
https://www.fox9.com/news/military-dividend-1776-trump-warrior-coast-guard-devotion-duty,"Trump's touted military Christmas bonus came from Pentagon funds, not tariffs",,,0,1,0,0,1,0,0,1,kept,ICE / immigration enforcement; Political actors mentioned,"The president suggested last week that a $1,776 Christmas bonus for troops was made possible through tariff revenue – when it was actually money they were already set to receive from the Pentagon."
https://www.fox9.com/news/minnesota-fraud-state-agencies-coordinate-efforts-after-9b-claims,Minnesota fraud: State agencies coordinate efforts after $9B claims,,,0,1,1,1,1,0,1,1,kept,ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Political actors mentioned; Minnesota mentioned,Minnesota is ramping up efforts to tackle fraud as it faces criticism from Congress and local communities.
https://www.fox9.com/news/minnesota-weather-forecast-dec-23-2025,"Minnesota weather: A quiet, bright, and slightly frozen Tuesday",,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,"It will be a quiet Tuesday in Minnesota with bright skies, a light breeze and steady temperatures in the 20s and 30s."
https://www.fox9.com/news/ohio-children-stolen-car-chase-youtube,Children as young as 8 involved in stolen car chase; Driver learned from YouTube,,,0,1,0,1,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Court / legal process,"Authorities in Ohio say three children ages 8, 11, and 12 could face juvenile charges after allegedly stealing a vehicle and leading police on a brief pursuit."
https://www.fox9.com/news/paramount-skydance-boosts-warner-bros-discovery-bid,Paramount–Skydance boosts hostile Warner Bros. Discovery bid with $40.4 billion equity financing guarantee,,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,Articles and videos about Paramount–Skydance boosts hostile Warner Bros. Discovery bid with $40.4 billion equity financing guarantee on FOX 9 Minneapolis-St. Paul.
https://www.fox9.com/news/power-strips-recalled-sold-amazon-fire-injury,"Power strips sold on Amazon recalled over serious injury, fire risk",,,0,1,0,1,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Court / legal process,The products were sold on Amazon between 2023 and 2025. Here’s what you need to know.
https://www.fox9.com/news/raccoon-falls-through-ceiling-grand-geneva-restaurant-bites-guest,"Raccoon falls through ceiling at Grand Geneva restaurant, bites guest",,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"A raccoon fell through the ceiling of a Grand Geneva restaurant Sunday night, bit a guest, and was later euthanized and sent for rabies testing, according to deputies and wildlife officials."
https://www.fox9.com/news/restaurants-open-christmas-eve-christmas-day-2025,"Restaurants open on Christmas Eve, Christmas Day in 2025",,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"If you’re planning to dine out this year, these restaurants are opening their doors during the holidays."
https://www.fox9.com/news/rogers-classic-car-dealership-keeps-rolling-more-than-30-years,Rogers classic car dealership keeps rolling for more than 30 years,,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,"Minnesota is one of the best states in the country for classic car collectors, and one dealership in the northwest metro has been buying and selling vintage vehicles for more than three decades."
https://www.fox9.com/news/shooting-bondi-beach-sydney-australia,Bondi Beach shooting: Terror attack at Australia Hanukkah event kills at least 15,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"A terrorist attack at Bondi Beach, one of Australia’s most popular beaches, left at least 16 people dead and at least 29 others injured."
https://www.fox9.com/news/stay-frosty-mug-root-beer-unveils-new-cologne-time-holidays,Stay frosty: Mug Root Beer unveils new cologne in time for holidays,,,0,1,0,0,0,0,0,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement,"Root beer fans who have ever wanted to - voluntarily - wear it, are in luck. Just in time for the holidays, Mug Root Beer is releasing its first-ever limited edition cologne."
https://www.fox9.com/news/stimulus-payment-december-2025-irs-direct-deposit-relief-payment-tariff-dividend-fact-check,"Stimulus payment December 2025, IRS direct deposit relief payment & tariff dividend fact check",,,0,1,1,1,1,0,0,1,kept,ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Political actors mentioned,Hold off on that purchase! Online rumors of new stimulus checks by year’s end are out there.
https://www.fox9.com/news/trump-announces-warship-golden-fleet,Trump announces new ‘Golden Fleet’ of Navy battleships: What we know,,,0,1,0,0,1,0,0,1,kept,ICE / immigration enforcement; Political actors mentioned,"President Donald Trump announced a new fleet of ships on Monday, known as the ""Golden Fleet."" Here's what we know."
https://www.fox9.com/news/twin-cities-exercise-business-mogul-dick-enrico-dies-85,Twin Cities exercise business mogul Dick Enrico dies at 85,,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,"Dick Enrico, the man behind 2nd Wind Exercise Equipment, died earlier this month. He was 85 years old."
