source,title,url,published_raw,published_iso,tags,excerpt
sahanjournal,"Top 5 local news stories of 2022: The country’s largest pandemic fraud allegedly occurred in Minnesota, investors preyed on Somali homebuyers, and more.",https://sahanjournal.com/public-safety/top-5-minnesota-local-news-2022-feeding-our-future-contract-for-deed/,2022-12-28T13:00:00,2022-12-28T13:00:00,Somali community; Fraud / scam / prosecution; COVID-19,"<p>The Feeding Our Future scandal. A fraught FBI investigation into voter habits. Real estate investors preying on Somali families. Amazon employee protests. A problematic medical marijuana restriction. All year, Sahan Journal dug deep into hard news.</p>
"
sahanjournal,Real estate investors sold Somali families on a fast track to homeownership in Minnesota. The buyers risk losing everything.,https://sahanjournal.com/housing/contracts-for-deed-put-somali-families-financial-risk-minnesota/,2022-11-21T12:00:00,2022-11-21T12:00:00,Somali community; Immigration / ICE,"<p>For Somali families in Minnesota, a contract for deed can seem like an easier path to homeownership. But predatory practices and poor regulation can make these loans a financial trap rather than a good deal. </p>
"
sahanjournal,"Refugees arriving in Minnesota this year came mostly from Somalia, Ethiopia, and the Democratic Republic of Congo.",https://sahanjournal.com/democracy-politics/refugee-resettlement-immigration-biden-administration-minnesota/,2022-10-18T12:00:00,2022-10-18T12:00:00,Somali community; Immigration / ICE,"<p>Most of the 533 refugees Minnesota settled in the last fiscal year came from Somalia, Ethiopia, and the Democratic Republic of Congo. But that number doesn’t include Afghan and Ukrainian refugees who arrived in the state through a different process.</p>
"
sahanjournal,"Muslim workers say they suffered religious discrimination at Worldwide Flight Services. After the employees protested, they say supervisors assigned them extra tasks like cleaning bathrooms.",https://sahanjournal.com/business-work/muslim-workers-protest-allege-discrimination-retaliation-worldwide-flight-services-minnesota/,2022-06-01T22:08:44,2022-06-01T22:08:44,Somali community; Immigration / ICE,"<p>More than a dozen warehouse workers staged a walkout in December over prayer breaks and claims of abusive language. Now, five of the Eagan-based employees claim the Amazon shipping contractor retaliated against them with suspensions and unannounced dismissals. “After the protest, everything got worse,” one Somali employee says. </p>
"
sahanjournal,Concerned about autism and your child? What are the signs and symptoms of autism? Here’s where Somali families can go first for answers and help.,https://sahanjournal.com/health/autism-diagnosis-signs-symptoms-help-minnesota-somali-parents/,2022-05-31T19:51:10,2022-05-31T19:51:10,Somali community; Immigration / ICE,"<p>Somali parents can find autism advice and support (in English and Somali) through Minnesota health providers and state partnerships. Help is available with diagnosis, education services, and more.</p>
"
sahanjournal,"Hamse Warfa is leaving the Minnesota Department of Employment and Economic Development for a position in the Biden administration, making him the highest-ranking Somali appointee in Washington.",https://sahanjournal.com/democracy-politics/hamse-warfa-biden-administration/,2022-01-10T19:34:21,2022-01-10T19:34:21,Somali community; Immigration / ICE,"<p>As a senior advisor in the U.S. State Department, Hamse will play a role in promoting democracy abroad and addressing refugee resettlement at home</p>
"
sahanjournal,St. Paul school board spares three schools from closure after outcry from immigrant families. Six other schools will close in district consolidation plan.,https://sahanjournal.com/education/st-paul-schools-closing-plan-leap-wellstone-highwood-hills/,2021-12-02T06:38:48,2021-12-02T06:38:48,Somali community; Immigration / ICE; Social program context,"<p>Families from LEAP, Highwood Hills, and Wellstone expressed relief that their schools will remain open—a win for Somali, Latino, and other immigrant parents. But the prospect of closing any schools left many feeling uneasy–including school board vice chair Jim Vue. </p>
"
sahanjournal,"As a child, Abdulaziz Mohamed looked to Barack Obama for proof he could be president. On July 1, he became the first Somali American student-body president at the University of Minnesota.",https://sahanjournal.com/education/abdulaziz-mohamed-university-of-minnesota-president/,2021-07-07T01:59:39,2021-07-07T01:59:39,Somali community; Immigration / ICE,"<p>Abdulaziz sometimes felt lost growing up between between two worlds: the Muslim community in Minneapolis and the mostly white schools in Stillwater. He found his voice in student government, he says, helping “people who have also struggled early in life.”</p>
"
sahanjournal,Minneapolis police providing traffic control were missing from this year&#8217;s Somali Independence Day celebration. No one missed them.,https://sahanjournal.com/arts-culture/somali-independence-festival-minneapolis-police/,2021-07-02T21:01:41,2021-07-02T21:01:41,Somali community; Immigration / ICE,"<p>Police almost always have a presence at a large Minneapolis street festival. This time, organizers came up with their own plan, and turned to the nonprofit Nonviolent Peaceforce. It worked out fine.</p>
"
sahanjournal,"&#8216;Our stories, our challenges and the wisdom in our community&#8217;: Book fair will highlight diversity of Somali voices.",https://sahanjournal.com/arts/minnesota-somali-book-fair/,2021-06-16T12:00:00,2021-06-16T12:00:00,Somali community; Immigration / ICE,"<p>Burnsville event on June 19 features 16 writers and is kid friendly. There will be a children&#8217;s tent and readings by children&#8217;s authors.</p>
"
